table_name,table_schema
Colors,Warehouse
Colors_Archive,Warehouse
OrderLines,Sales
PackageTypes,Warehouse
PackageTypes_Archive,Warehouse
StockGroups,Warehouse
StockItemStockGroups,Warehouse
StockGroups_Archive,Warehouse
StateProvinces,Application
CustomerTransactions,Sales
StateProvinces_Archive,Application
Cities,Application
Cities_Archive,Application
SystemParameters,Application
InvoiceLines,Sales
Suppliers,Purchasing
StockItemTransactions,Warehouse
Suppliers_Archive,Purchasing
Customers,Sales
Customers_Archive,Sales
PurchaseOrders,Purchasing
Orders,Sales
ColdRoomTemperatures,Warehouse
VehicleTemperatures,Warehouse
People,Application
StockItems,Warehouse
People_Archive,Application
ColdRoomTemperatures_Archive,Warehouse
StockItems_Archive,Warehouse
Countries,Application
StockItemHoldings,Warehouse
PurchaseOrderLines,Purchasing
Countries_Archive,Application
DeliveryMethods,Application
DeliveryMethods_Archive,Application
PaymentMethods,Application
SupplierTransactions,Purchasing
PaymentMethods_Archive,Application
TransactionTypes,Application
SpecialDeals,Sales
TransactionTypes_Archive,Application
SupplierCategories,Purchasing
SupplierCategories_Archive,Purchasing
BuyingGroups,Sales
Invoices,Sales
BuyingGroups_Archive,Sales
CustomerCategories,Sales
CustomerCategories_Archive,Sales
